Model,Target,feature,mean_abs_shap
CatBoost,y1=Q_in_t+1 (m3/day),Q_in_t (m3/day),1960.7292745782572
CatBoost,y1=Q_in_t+1 (m3/day),Water_Level_t (m),4109.5454670862055
CatBoost,y1=Q_in_t+1 (m3/day),Storage_S_t (m3),1977.2451772878003
CatBoost,y1=Q_in_t+1 (m3/day),DeltaS_t (m3/day),1475.205564087585
CatBoost,y1=Q_in_t+1 (m3/day),%Full_t,2029.5995443616198
CatBoost,y1=Q_in_t+1 (m3/day),Rain_obs_t (mm),1267.416341252248
CatBoost,y1=Q_in_t+1 (m3/day),API_t (mm),2000.5130954198576
CatBoost,y2=Q_in_t+2 (m3/day),Q_in_t (m3/day),3790.7341990692516
CatBoost,y2=Q_in_t+2 (m3/day),Water_Level_t (m),5068.910360261701
CatBoost,y2=Q_in_t+2 (m3/day),Storage_S_t (m3),3432.5659350684095
CatBoost,y2=Q_in_t+2 (m3/day),DeltaS_t (m3/day),2788.5746252592658
CatBoost,y2=Q_in_t+2 (m3/day),%Full_t,3582.3359912751903
CatBoost,y2=Q_in_t+2 (m3/day),Rain_obs_t (mm),2834.6805940914364
CatBoost,y2=Q_in_t+2 (m3/day),API_t (mm),1917.0838589210255
CatBoost,y3=Q_in_t+3 (m3/day),Q_in_t (m3/day),10180.54034822801
CatBoost,y3=Q_in_t+3 (m3/day),Water_Level_t (m),6315.936178029272
CatBoost,y3=Q_in_t+3 (m3/day),Storage_S_t (m3),4939.597275113538
CatBoost,y3=Q_in_t+3 (m3/day),DeltaS_t (m3/day),2190.4982877387024
CatBoost,y3=Q_in_t+3 (m3/day),%Full_t,7090.9252217980375
CatBoost,y3=Q_in_t+3 (m3/day),Rain_obs_t (mm),2649.396000979019
CatBoost,y3=Q_in_t+3 (m3/day),API_t (mm),2912.094026748225
CatBoost,y4=Q_in_t+4 (m3/day),Q_in_t (m3/day),8166.757819952445
CatBoost,y4=Q_in_t+4 (m3/day),Water_Level_t (m),7092.636754056046
CatBoost,y4=Q_in_t+4 (m3/day),Storage_S_t (m3),5824.163530394362
CatBoost,y4=Q_in_t+4 (m3/day),DeltaS_t (m3/day),1773.2667540435807
CatBoost,y4=Q_in_t+4 (m3/day),%Full_t,4773.440210787342
CatBoost,y4=Q_in_t+4 (m3/day),Rain_obs_t (mm),2549.195108858086
CatBoost,y4=Q_in_t+4 (m3/day),API_t (mm),1567.9889023353287
CatBoost,y5=Q_in_t+5 (m3/day),Q_in_t (m3/day),8140.477730575561
CatBoost,y5=Q_in_t+5 (m3/day),Water_Level_t (m),4540.826002167886
CatBoost,y5=Q_in_t+5 (m3/day),Storage_S_t (m3),2355.371081347333
CatBoost,y5=Q_in_t+5 (m3/day),DeltaS_t (m3/day),204.56863255782605
CatBoost,y5=Q_in_t+5 (m3/day),%Full_t,4474.372606654329
CatBoost,y5=Q_in_t+5 (m3/day),Rain_obs_t (mm),263.83246065986816
CatBoost,y5=Q_in_t+5 (m3/day),API_t (mm),331.4262999360401
CatBoost,y6=Q_in_t+6 (m3/day),Q_in_t (m3/day),12516.701782848771
CatBoost,y6=Q_in_t+6 (m3/day),Water_Level_t (m),5292.629741113172
CatBoost,y6=Q_in_t+6 (m3/day),Storage_S_t (m3),3148.2356144750934
CatBoost,y6=Q_in_t+6 (m3/day),DeltaS_t (m3/day),291.7639224738591
CatBoost,y6=Q_in_t+6 (m3/day),%Full_t,4005.5551717540334
CatBoost,y6=Q_in_t+6 (m3/day),Rain_obs_t (mm),1227.877335103655
CatBoost,y6=Q_in_t+6 (m3/day),API_t (mm),860.6721932778714
CatBoost,y7=Q_in_t+7 (m3/day),Q_in_t (m3/day),9391.540930060266
CatBoost,y7=Q_in_t+7 (m3/day),Water_Level_t (m),7468.197403913809
CatBoost,y7=Q_in_t+7 (m3/day),Storage_S_t (m3),5205.853160395608
CatBoost,y7=Q_in_t+7 (m3/day),DeltaS_t (m3/day),1574.128262545001
CatBoost,y7=Q_in_t+7 (m3/day),%Full_t,3777.859412576056
CatBoost,y7=Q_in_t+7 (m3/day),Rain_obs_t (mm),1930.0241369982782
CatBoost,y7=Q_in_t+7 (m3/day),API_t (mm),3771.4110090816957
XGBoost,y1=Q_in_t+1 (m3/day),Q_in_t (m3/day),67.58489990234375
XGBoost,y1=Q_in_t+1 (m3/day),Water_Level_t (m),94.36946868896484
XGBoost,y1=Q_in_t+1 (m3/day),Storage_S_t (m3),47.152793884277344
XGBoost,y1=Q_in_t+1 (m3/day),DeltaS_t (m3/day),6.197664260864258
XGBoost,y1=Q_in_t+1 (m3/day),%Full_t,4.928175926208496
XGBoost,y1=Q_in_t+1 (m3/day),Rain_obs_t (mm),3.201571464538574
XGBoost,y1=Q_in_t+1 (m3/day),API_t (mm),124.80632781982422
XGBoost,y2=Q_in_t+2 (m3/day),Q_in_t (m3/day),97.69931030273438
XGBoost,y2=Q_in_t+2 (m3/day),Water_Level_t (m),43.77874755859375
XGBoost,y2=Q_in_t+2 (m3/day),Storage_S_t (m3),0.0
XGBoost,y2=Q_in_t+2 (m3/day),DeltaS_t (m3/day),15.957642555236816
XGBoost,y2=Q_in_t+2 (m3/day),%Full_t,0.0
XGBoost,y2=Q_in_t+2 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y2=Q_in_t+2 (m3/day),API_t (mm),0.0
XGBoost,y3=Q_in_t+3 (m3/day),Q_in_t (m3/day),60.12517547607422
XGBoost,y3=Q_in_t+3 (m3/day),Water_Level_t (m),233.37625122070312
XGBoost,y3=Q_in_t+3 (m3/day),Storage_S_t (m3),0.0
XGBoost,y3=Q_in_t+3 (m3/day),DeltaS_t (m3/day),38.16786575317383
XGBoost,y3=Q_in_t+3 (m3/day),%Full_t,0.0
XGBoost,y3=Q_in_t+3 (m3/day),Rain_obs_t (mm),1.4725065231323242
XGBoost,y3=Q_in_t+3 (m3/day),API_t (mm),294.23095703125
XGBoost,y4=Q_in_t+4 (m3/day),Q_in_t (m3/day),178.81332397460938
XGBoost,y4=Q_in_t+4 (m3/day),Water_Level_t (m),41.385459899902344
XGBoost,y4=Q_in_t+4 (m3/day),Storage_S_t (m3),0.0
XGBoost,y4=Q_in_t+4 (m3/day),DeltaS_t (m3/day),1.2026524543762207
XGBoost,y4=Q_in_t+4 (m3/day),%Full_t,0.0
XGBoost,y4=Q_in_t+4 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y4=Q_in_t+4 (m3/day),API_t (mm),0.0
XGBoost,y5=Q_in_t+5 (m3/day),Q_in_t (m3/day),222.33462524414062
XGBoost,y5=Q_in_t+5 (m3/day),Water_Level_t (m),43.55807876586914
XGBoost,y5=Q_in_t+5 (m3/day),Storage_S_t (m3),0.0
XGBoost,y5=Q_in_t+5 (m3/day),DeltaS_t (m3/day),1.155651569366455
XGBoost,y5=Q_in_t+5 (m3/day),%Full_t,0.0
XGBoost,y5=Q_in_t+5 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y5=Q_in_t+5 (m3/day),API_t (mm),0.0
XGBoost,y6=Q_in_t+6 (m3/day),Q_in_t (m3/day),186.80368041992188
XGBoost,y6=Q_in_t+6 (m3/day),Water_Level_t (m),0.0
XGBoost,y6=Q_in_t+6 (m3/day),Storage_S_t (m3),0.0
XGBoost,y6=Q_in_t+6 (m3/day),DeltaS_t (m3/day),81.30081939697266
XGBoost,y6=Q_in_t+6 (m3/day),%Full_t,0.0
XGBoost,y6=Q_in_t+6 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y6=Q_in_t+6 (m3/day),API_t (mm),0.0
XGBoost,y7=Q_in_t+7 (m3/day),Q_in_t (m3/day),151.1322021484375
XGBoost,y7=Q_in_t+7 (m3/day),Water_Level_t (m),23.362640380859375
XGBoost,y7=Q_in_t+7 (m3/day),Storage_S_t (m3),0.0
XGBoost,y7=Q_in_t+7 (m3/day),DeltaS_t (m3/day),0.0
XGBoost,y7=Q_in_t+7 (m3/day),%Full_t,0.0
XGBoost,y7=Q_in_t+7 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y7=Q_in_t+7 (m3/day),API_t (mm),0.0
LightGBM,y1=Q_in_t+1 (m3/day),Q_in_t (m3/day),421.0989907110073
LightGBM,y1=Q_in_t+1 (m3/day),Water_Level_t (m),351.1636067108658
LightGBM,y1=Q_in_t+1 (m3/day),Storage_S_t (m3),0.0
LightGBM,y1=Q_in_t+1 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y1=Q_in_t+1 (m3/day),%Full_t,0.0
LightGBM,y1=Q_in_t+1 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y1=Q_in_t+1 (m3/day),API_t (mm),30.569408849804887
LightGBM,y2=Q_in_t+2 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y2=Q_in_t+2 (m3/day),Water_Level_t (m),100.88291789614333
LightGBM,y2=Q_in_t+2 (m3/day),Storage_S_t (m3),0.0
LightGBM,y2=Q_in_t+2 (m3/day),DeltaS_t (m3/day),19.552864056995098
LightGBM,y2=Q_in_t+2 (m3/day),%Full_t,0.0
LightGBM,y2=Q_in_t+2 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y2=Q_in_t+2 (m3/day),API_t (mm),143.37849507438244
LightGBM,y3=Q_in_t+3 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y3=Q_in_t+3 (m3/day),Water_Level_t (m),248.30595048347195
LightGBM,y3=Q_in_t+3 (m3/day),Storage_S_t (m3),0.0
LightGBM,y3=Q_in_t+3 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y3=Q_in_t+3 (m3/day),%Full_t,0.0
LightGBM,y3=Q_in_t+3 (m3/day),Rain_obs_t (mm),276.4952185887986
LightGBM,y3=Q_in_t+3 (m3/day),API_t (mm),0.0
LightGBM,y4=Q_in_t+4 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y4=Q_in_t+4 (m3/day),Water_Level_t (m),319.6579211725941
LightGBM,y4=Q_in_t+4 (m3/day),Storage_S_t (m3),0.0
LightGBM,y4=Q_in_t+4 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y4=Q_in_t+4 (m3/day),%Full_t,0.0
LightGBM,y4=Q_in_t+4 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y4=Q_in_t+4 (m3/day),API_t (mm),389.55469603785417
LightGBM,y5=Q_in_t+5 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y5=Q_in_t+5 (m3/day),Water_Level_t (m),112.75906160719737
LightGBM,y5=Q_in_t+5 (m3/day),Storage_S_t (m3),184.7713732243679
LightGBM,y5=Q_in_t+5 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y5=Q_in_t+5 (m3/day),%Full_t,0.0
LightGBM,y5=Q_in_t+5 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y5=Q_in_t+5 (m3/day),API_t (mm),318.71491012232207
LightGBM,y6=Q_in_t+6 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y6=Q_in_t+6 (m3/day),Water_Level_t (m),0.0
LightGBM,y6=Q_in_t+6 (m3/day),Storage_S_t (m3),0.0
LightGBM,y6=Q_in_t+6 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y6=Q_in_t+6 (m3/day),%Full_t,292.6662368313899
LightGBM,y6=Q_in_t+6 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y6=Q_in_t+6 (m3/day),API_t (mm),552.3390114074416
LightGBM,y7=Q_in_t+7 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y7=Q_in_t+7 (m3/day),Water_Level_t (m),232.51966061392199
LightGBM,y7=Q_in_t+7 (m3/day),Storage_S_t (m3),0.0
LightGBM,y7=Q_in_t+7 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y7=Q_in_t+7 (m3/day),%Full_t,0.0
LightGBM,y7=Q_in_t+7 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y7=Q_in_t+7 (m3/day),API_t (mm),492.6861809453341
